{8167, d, 27}
{8696, j, 19}
{9006, f, 13}
{9278, k, 20}
{9569, d, 19}
{9832, j, 17}
{10111, d, 30}
{10394, j, 21}
{10681, k, 21}
{10945, d, 26}
{11216, f, 20}
{11219, j, 25}
{11503, d, 20}
{11506, k, 19}
{11790, f, 20}
{11791, j, 21}
{12069, d, 21}
{12071, k, 21}
{12356, f, 21}
{12358, k, 23}
{12617, d, 28}
{12628, j, 25}
{12898, k, 22}
{12895, d, 32}
{13152, j, 21}
{13445, d, 18}
{13446, k, 20}
{13725, j, 28}
{13861, k, 21}
{13995, d, 28}
{14158, f, 23}
{14296, d, 19}
{14298, j, 21}
{14573, k, 25}
{14578, d, 29}
{14842, j, 40}
{14834, k, 49}
{14830, d, 61}
{14833, f, 58}
{15115, k, 20}
{15114, d, 28}
{15373, k, 19}
{15541, j, 15}
{15677, f, 22}
{15826, d, 23}
{15958, j, 29}
{16096, k, 20}
{16231, f, 19}
{16371, d, 17}
{16492, j, 34}
{16655, f, 26}
{16779, k, 29}
{16917, d, 17}
{17066, j, 25}
{17207, f, 35}
{17346, d, 27}
{17347, k, 28}
{17479, f, 21}
{17471, j, 31}
{17618, d, 19}
{17619, k, 27}
{17750, k, 20}
{17893, d, 19}
{18006, j, 25}
{18181, k, 14}
{18180, f, 24}
{18320, d, 12}
{18321, j, 21}
{18447, f, 17}
{18453, j, 19}
{18583, d, 27}
{18592, k, 21}
{18729, j, 20}
{18791, k, 13}
{18880, k, 23}
{18949, k, 18}
{19012, d, 21}
{19016, j, 19}
{19089, j, 14}
{19148, f, 19}
{19232, d, 9}
{19300, d, 13}
{19294, k, 28}
{19362, j, 21}
{19429, j, 20}
{19500, f, 18}
{19558, d, 22}
{19634, d, 17}
{19704, f, 14}
{19763, d, 24}
{19842, d, 23}
{19845, k, 22}
{19921, j, 14}
{19927, f, 14}
{19995, d, 18}
{20002, k, 14}
{20062, j, 17}
{20073, f, 11}
{20118, k, 17}
{20124, d, 18}
{20204, j, 9}
{20266, k, 15}
{20336, k, 8}
{20410, d, 19}
{20482, f, 14}
{20542, d, 19}
{20601, j, 27}
{20620, d, 17}
{20682, f, 14}
{20677, k, 22}
{20753, d, 12}
{20745, j, 21}
{20815, k, 28}
{20825, f, 23}
{20894, j, 13}
{20962, d, 10}
{21028, j, 12}
{21094, f, 18}
{21166, k, 14}
{21172, d, 14}
{21228, j, 14}
{21233, f, 17}
{21301, d, 23}
{21303, k, 21}
{21377, j, 19}
{21436, k, 22}
{21501, d, 22}
{21578, k, 13}
{21647, f, 19}
{21715, j, 19}
{21779, d, 28}
{21855, k, 11}
{21925, d, 24}
{21934, j, 19}
{22071, f, 20}
{22073, k, 21}
{22215, d, 14}
{22219, j, 13}
{22341, k, 28}
{22409, f, 20}
{22482, j, 21}
{22488, d, 19}
{22544, k, 25}
{22615, f, 22}
{22623, j, 22}
{22696, d, 25}
{22738, k, 25}
{22878, f, 24}
{22881, j, 22}
{22968, k, 13}
{23039, d, 19}
{23111, j, 14}
