{188, d, 22}
{292, f, 34}
{418, j, 20}
{482, k, 15}
{555, d, 25}
{639, j, 24}
{714, f, 18}
{786, k, 28}
{851, d, 19}
{932, j, 25}
{1002, f, 20}
{1076, k, 22}
{1140, d, 23}
{1236, k, 14}
{1321, f, 10}
{1393, j, 20}
{1526, k, 11}
{1610, k, 25}
{1459, d, 217}
{1700, f, 22}
{1762, j, 28}
{1826, d, 29}
{1909, k, 27}
{1978, f, 35}
{2066, k, 35}
{2145, j, 15}
{2221, k, 36}
{2063, d, 228}
{2361, f, 28}
{2369, k, 28}
{2437, j, 19}
{2516, d, 27}
{2535, k, 29}
{2584, j, 13}
{2611, f, 19}
{2680, k, 27}
{2705, d, 19}
{2741, j, 19}
{2768, f, 12}
{2828, k, 19}
{2855, d, 21}
{2885, j, 20}
{2983, k, 19}
{3047, d, 14}
{3115, j, 19}
{3126, d, 14}
{3189, k, 21}
{3236, f, 15}
{3276, d, 19}
{3348, j, 15}
{3418, d, 20}
{3421, k, 18}
